corrida,costo_orden,costo_mant,costo_falt,costo_total,num_ordenes,fill_rate
1,5350.00,8648.03,24.42,14022.45,107,0.995031
2,5350.00,8592.83,11.58,13954.41,107,0.997388
3,5150.00,9079.26,0.46,14229.72,103,0.999696
4,5200.00,8928.69,4.87,14133.56,104,0.998198
5,5200.00,8869.93,7.62,14077.55,104,0.998503
6,5400.00,8595.60,3.61,13999.21,108,0.999127
7,5250.00,8878.21,16.12,14144.33,105,0.997917
8,5250.00,8996.47,28.99,14275.46,105,0.997000
9,5200.00,8877.13,4.32,14081.45,104,0.998200
10,5100.00,9102.15,6.06,14208.21,102,0.998467
