K,rho,t_check,L_acum,W_acum
0,0.25,91.08,0.000000,0.000000
0,0.25,193.76,0.000000,0.000000
0,0.25,291.10,0.000000,0.000000
0,0.25,395.61,0.000000,0.000000
0,0.25,493.43,0.000000,0.000000
0,0.25,595.36,0.000000,0.000000
0,0.25,691.16,0.000000,0.000000
0,0.25,792.22,0.000000,0.000000
0,0.25,897.07,0.000000,0.000000
0,0.25,995.50,0.000000,0.000000
0,0.25,1091.61,0.000000,0.000000
0,0.25,1194.82,0.000000,0.000000
0,0.25,1294.11,0.000000,0.000000
0,0.25,1395.65,0.000000,0.000000
0,0.25,1495.21,0.000000,0.000000
0,0.25,1592.87,0.000000,0.000000
0,0.25,1692.50,0.000000,0.000000
0,0.25,1793.38,0.000000,0.000000
0,0.25,1895.99,0.000000,0.000000
0,0.25,1997.07,0.000000,0.000000
0,0.25,2093.32,0.000000,0.000000
0,0.25,2195.64,0.000000,0.000000
0,0.25,2291.17,0.000000,0.000000
0,0.25,2394.17,0.000000,0.000000
0,0.25,2491.87,0.000000,0.000000
0,0.25,2595.09,0.000000,0.000000
0,0.25,2692.75,0.000000,0.000000
0,0.25,2791.12,0.000000,0.000000
0,0.25,2894.53,0.000000,0.000000
0,0.25,2994.98,0.000000,0.000000
0,0.25,3093.48,0.000000,0.000000
0,0.25,3191.74,0.000000,0.000000
0,0.25,3292.11,0.000000,0.000000
0,0.25,3403.72,0.000000,0.000000
0,0.25,3500.18,0.000000,0.000000
0,0.25,3594.41,0.000000,0.000000
0,0.25,3701.81,0.000000,0.000000
0,0.25,3800.26,0.000000,0.000000
0,0.25,3897.92,0.000000,0.000000
0,0.25,3998.41,0.000000,0.000000
0,0.25,4092.97,0.000000,0.000000
0,0.25,4191.04,0.000000,0.000000
0,0.25,4292.11,0.000000,0.000000
0,0.25,4394.43,0.000000,0.000000
0,0.25,4497.92,0.000000,0.000000
0,0.25,4592.88,0.000000,0.000000
0,0.25,4691.95,0.000000,0.000000
0,0.25,4794.21,0.000000,0.000000
0,0.25,4899.02,0.000000,0.000000
0,0.25,4993.46,0.000000,0.000000
0,0.25,5091.80,0.000000,0.000000
0,0.25,5193.08,0.000000,0.000000
0,0.25,5299.76,0.000000,0.000000
0,0.25,5394.84,0.000000,0.000000
0,0.25,5494.52,0.000000,0.000000
0,0.25,5596.47,0.000000,0.000000
0,0.25,5692.35,0.000000,0.000000
0,0.25,5791.17,0.000000,0.000000
0,0.25,5891.35,0.000000,0.000000
0,0.25,6001.56,0.000000,0.000000
0,0.25,6091.26,0.000000,0.000000
0,0.25,6197.74,0.000000,0.000000
0,0.25,6294.54,0.000000,0.000000
0,0.25,6391.44,0.000000,0.000000
0,0.25,6491.28,0.000000,0.000000
0,0.25,6597.64,0.000000,0.000000
0,0.25,6693.55,0.000000,0.000000
0,0.25,6791.72,0.000000,0.000000
0,0.25,6891.26,0.000000,0.000000
0,0.25,6995.29,0.000000,0.000000
0,0.25,7099.28,0.000000,0.000000
0,0.25,7193.51,0.000000,0.000000
0,0.25,7290.89,0.000000,0.000000
0,0.25,7393.89,0.000000,0.000000
0,0.25,7499.50,0.000000,0.000000
0,0.25,7596.15,0.000000,0.000000
0,0.25,7691.22,0.000000,0.000000
0,0.25,7797.65,0.000000,0.000000
0,0.25,7899.47,0.000000,0.000000
0,0.25,7990.86,0.000000,0.000000
0,0.25,8094.30,0.000000,0.000000
0,0.25,8199.84,0.000000,0.000000
0,0.25,8305.40,0.000000,0.000000
0,0.25,8399.36,0.000000,0.000000
0,0.25,8506.32,0.000000,0.000000
0,0.25,8596.81,0.000000,0.000000
0,0.25,8692.82,0.000000,0.000000
0,0.25,8804.55,0.000000,0.000000
0,0.25,8892.96,0.000000,0.000000
0,0.25,8992.61,0.000000,0.000000
0,0.50,99.66,0.000000,0.000000
0,0.50,200.07,0.000000,0.000000
0,0.50,298.68,0.000000,0.000000
0,0.50,398.94,0.000000,0.000000
0,0.50,500.79,0.000000,0.000000
0,0.50,600.07,0.000000,0.000000
0,0.50,699.33,0.000000,0.000000
0,0.50,799.80,0.000000,0.000000
0,0.50,897.81,0.000000,0.000000
0,0.50,999.74,0.000000,0.000000
0,0.50,1098.12,0.000000,0.000000
0,0.50,1204.11,0.000000,0.000000
0,0.50,1299.45,0.000000,0.000000
0,0.50,1402.38,0.000000,0.000000
0,0.50,1501.45,0.000000,0.000000
0,0.50,1597.77,0.000000,0.000000
0,0.50,1699.46,0.000000,0.000000
0,0.50,1798.69,0.000000,0.000000
0,0.50,1899.35,0.000000,0.000000
0,0.50,1998.98,0.000000,0.000000
0,0.50,2098.79,0.000000,0.000000
0,0.50,2199.67,0.000000,0.000000
0,0.50,2300.48,0.000000,0.000000
