K,rho,L_sim,L_teo,Lq_sim,Lq_teo,W_sim,W_teo,Wq_sim,Wq_teo,util_sim,util_teo,P_bloq_sim,P_bloq_teo
0,0.25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
0,0.50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
0,0.75,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
0,1.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
0,1.25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
2,0.25,0.286361,0.285714,0.047726,0.047619,1.210114,1.200000,0.201607,0.200000,0.238635,0.238095,0.047369,0.047619
2,0.50,0.574226,0.571429,0.143796,0.142857,1.338751,1.333333,0.335196,0.333333,0.430431,0.428571,0.145592,0.142857
2,0.75,0.816370,0.810811,0.245427,0.243243,1.436895,1.428571,0.431951,0.428571,0.570942,0.567568,0.246175,0.243243
2,1.00,0.999660,1.000000,0.333287,0.333333,1.501258,1.500000,0.500550,0.500000,0.666373,0.666667,0.334220,0.333333
2,1.25,1.144393,1.147541,0.407812,0.409836,1.545881,1.555556,0.550893,0.555556,0.736581,0.737705,0.408497,0.409836
5,0.25,0.328817,0.331868,0.081190,0.082051,1.329177,1.328446,0.328027,0.328446,0.247627,0.249817,0.000529,0.000733
5,0.50,0.927609,0.904762,0.427320,0.412698,1.868567,1.838710,0.860713,0.838710,0.500289,0.492063,0.016607,0.015873
5,0.75,1.733252,1.700921,1.032629,1.005049,2.486480,2.444302,1.481369,1.444302,0.700622,0.695872,0.074163,0.072171
5,1.00,2.494151,2.500000,1.661701,1.666667,2.993601,3.000000,1.994489,2.000000,0.832451,0.833333,0.168232,0.166667
5,1.25,3.103063,3.131668,2.195280,2.220487,3.394799,3.436935,2.401690,2.436935,0.907783,0.911181,0.267709,0.271056
10,0.25,0.331237,0.333331,0.083121,0.083331,1.337064,1.333324,0.335260,0.333324,0.248116,0.250000,0.000000,0.000001
10,0.50,1.003546,0.994626,0.505870,0.494871,2.010828,1.990225,1.013523,0.990225,0.497676,0.499756,0.000802,0.000489
10,0.75,2.554598,2.514926,1.812255,1.775951,3.450590,3.403260,2.447725,2.403260,0.742343,0.738976,0.014344,0.014699
10,1.00,5.085801,5.000000,4.173815,4.090909,5.582991,5.500000,4.581833,4.500000,0.911986,0.909091,0.093917,0.090909
10,1.25,7.029894,7.033686,6.051492,6.057179,7.170079,7.202902,6.172319,6.202902,0.978401,0.976507,0.215099,0.218794
50,0.25,0.331237,0.333333,0.083121,0.083333,1.337064,1.333333,0.335260,0.333333,0.248116,0.250000,0.000000,0.000000
50,0.50,1.019330,1.000000,0.518789,0.500000,2.035609,2.000000,1.035901,1.000000,0.500541,0.500000,0.000000,0.000000
50,0.75,3.039415,2.999978,2.288054,2.249978,4.051603,3.999972,3.049472,2.999972,0.751361,0.750000,0.000000,0.000000
50,1.00,24.750746,25.000000,23.771420,24.019608,25.159024,25.500000,24.163135,24.500000,0.979326,0.980392,0.018541,0.019608
50,1.25,45.800754,46.000582,44.800803,45.000585,45.527620,46.000714,44.533729,45.000714,0.999951,0.999997,0.191891,0.200002
